stop_name,total_visits,evening_visits,evening_coverage_rate,key_stop_flag,routes_serving_stop,stop_gap_score,stop_lat,stop_lon
UCSD Central Campus Trolley,309,89,0.28802588996763756,True,"IL - Inside Loop, OL - Outside Loop, R - Regents Express",0.805083603020496,32.8793,-117.231916
P703 / Regents Parking Lots,162,40,0.24691358024691357,True,R - Regents Express,0.7341658629115226,32.879802,-117.220002
Mesa Nueva,160,42,0.2625,True,ML - Mesa Loop,0.6595729166666666,32.875787,-117.223533
Gilman Transit Center (South),161,43,0.2670807453416149,True,"OL - Outside Loop, S - SIO Shuttle",0.6404415760869564,32.876952,-117.234952
Warren Field (North),136,36,0.2647058823529412,True,"OL - Outside Loop, R - Regents Express",0.6073261335784312,32.880735,-117.230701
Athena Parking Structure,81,20,0.24691358024691357,True,R - Regents Express,0.5917830504115227,32.879164,-117.222168
UCSD Health La Jolla Trolley (South),81,20,0.24691358024691357,True,R - Regents Express,0.5917830504115227,32.88174,-117.222669
P785 Parking Lot,81,20,0.24691358024691357,True,R - Regents Express,0.5917830504115227,32.878701,-117.220433
UCSD Health La Jolla Trolley (North),81,20,0.24691358024691357,True,R - Regents Express,0.5917830504115227,32.882449,-117.223832
Warren Field (South),140,39,0.2785714285714286,True,"IL - Inside Loop, R - Regents Express",0.5511276041666666,32.880989,-117.229831
Gilman Dr & Pepper Canyon Dr (North),139,39,0.2805755395683453,True,"IL - Inside Loop, ML - Mesa Loop",0.5402306279976019,32.876343,-117.230416
Central Mesa,80,21,0.2625,True,ML - Mesa Loop,0.5189479166666666,32.872669,-117.221346
Gilman Transit Center (North),139,40,0.28776978417266186,True,"IL - Inside Loop, ML - Mesa Loop",0.5074233738009593,32.877111,-117.237377
WongAvery Library (West),139,40,0.28776978417266186,True,"IL - Inside Loop, ML - Mesa Loop",0.5074233738009593,32.874272,-117.238416
Eighth College / Theatre District (South),108,30,0.2777777777777778,True,"OL - Outside Loop, S - SIO Shuttle",0.4984968171296295,32.872084,-117.241795
WongAvery Library (East),108,30,0.2777777777777778,True,"OL - Outside Loop, S - SIO Shuttle",0.4984968171296295,32.874461,-117.23834
Eighth College / Theatre District (North),112,32,0.2857142857142857,True,"IL - Inside Loop, S - SIO Shuttle",0.4693359375,32.871718,-117.242206
Revelle College (East),112,32,0.2857142857142857,True,"IL - Inside Loop, S - SIO Shuttle",0.4693359375,32.875574,-117.243091
Seventh College (West),55,15,0.2727272727272727,True,OL - Outside Loop,0.4283641098484849,32.887713,-117.242361
Eleanor Roosevelt / Seventh Colleges (West),55,15,0.2727272727272727,True,OL - Outside Loop,0.4283641098484849,32.886462,-117.2425
RIMAC / Hopkins Parking Structure (East),55,15,0.2727272727272727,True,OL - Outside Loop,0.4283641098484849,32.88445,-117.238616
Eleanor Roosevelt / Marshall Colleges (West),55,15,0.2727272727272727,True,OL - Outside Loop,0.4283641098484849,32.884176,-117.242484
Ridge Walk Mobility Hub,114,34,0.2982456140350877,True,"IL - Inside Loop, OL - Outside Loop",0.4157060946637427,32.888709,-117.240648
Koman Outpatient / Moores Cancer,80,20,0.25,False,ML - Mesa Loop,0.3759505208333333,32.87765,-117.223062
Nuevo East,80,20,0.25,False,ML - Mesa Loop,0.3759505208333333,32.875523,-117.220426
Jacobs Medical Center,80,20,0.25,False,ML - Mesa Loop,0.3759505208333333,32.876445,-117.226703
La Jolla Shores Dr & Inyaha Ln,53,13,0.24528301886792453,False,S - SIO Shuttle,0.35,32.874076,-117.244956
Southwest Fisheries,53,13,0.24528301886792453,False,S - SIO Shuttle,0.35,32.86973,-117.251695
IGPP,53,13,0.24528301886792453,False,S - SIO Shuttle,0.35,32.867439,-117.252156
Coast Apartments (West),53,13,0.24528301886792453,False,S - SIO Shuttle,0.35,32.869563,-117.248512
Eckart Building / Hubbs Hall,53,13,0.24528301886792453,False,S - SIO Shuttle,0.35,32.866324,-117.252712
UCSD Extended Studies Building (North),53,13,0.24528301886792453,False,S - SIO Shuttle,0.35,32.871886,-117.234716
Revelle College (West),55,16,0.2909090909090909,True,OL - Outside Loop,0.34545123106060605,32.875515,-117.243166
Muir College (West),55,16,0.2909090909090909,True,OL - Outside Loop,0.34545123106060605,32.877819,-117.24372
Sixth College (West),55,16,0.2909090909090909,True,OL - Outside Loop,0.34545123106060605,32.879964,-117.242487
Gilman Dr & Mandeville Ln,55,16,0.2909090909090909,True,OL - Outside Loop,0.34545123106060605,32.876954,-117.237963
UCSD Extended Studies Building (South),80,21,0.2625,False,ML - Mesa Loop,0.31894791666666655,32.871524,-117.233241
Nierenberg Hall,53,14,0.2641509433962264,False,S - SIO Shuttle,0.2639583333333333,32.869245,-117.251025
Scripps Seaside Forum / Beach,53,14,0.2641509433962264,False,S - SIO Shuttle,0.2639583333333333,32.865352,-117.253931
Birch Aquarium,53,14,0.2641509433962264,False,S - SIO Shuttle,0.2639583333333333,32.866286,-117.250312
Vaughan Hall,53,14,0.2641509433962264,False,S - SIO Shuttle,0.2639583333333333,32.865726,-117.252189
Coast Apartments (South),53,14,0.2641509433962264,False,S - SIO Shuttle,0.2639583333333333,32.86901,-117.246914
Expedition Wy & Capricorn Ln,53,14,0.2641509433962264,False,S - SIO Shuttle,0.2639583333333333,32.870854,-117.243758
Nuevo West,80,22,0.275,False,ML - Mesa Loop,0.26194531249999986,32.874402,-117.225857
Franklin Antonio / Atkinson Halls (North),55,15,0.2727272727272727,False,OL - Outside Loop,0.22836410984848488,32.882977,-117.235258
RIMAC / Hopkins Parking Structure (West),59,19,0.3220338983050847,True,IL - Inside Loop,0.21054687500000002,32.884328,-117.23869
Seventh College (East),59,19,0.3220338983050847,True,IL - Inside Loop,0.21054687500000002,32.888332,-117.242094
Eleanor Roosevelt / Marshall Colleges (East),59,19,0.3220338983050847,True,IL - Inside Loop,0.21054687500000002,32.884335,-117.242348
Eleanor Roosevelt / Seventh Colleges (East),59,19,0.3220338983050847,True,IL - Inside Loop,0.21054687500000002,32.886558,-117.242369
Muir College (East),59,19,0.3220338983050847,True,IL - Inside Loop,0.21054687500000002,32.877838,-117.243607
Sixth College (East),59,19,0.3220338983050847,True,IL - Inside Loop,0.21054687500000002,32.880711,-117.242371
Franklin Antonio / Atkinson Halls (North),59,19,0.3220338983050847,False,IL - Inside Loop,0.010546875,32.882873,-117.235179
